id,Unemployment Rate,African_American,Hispanic,White,Men,Women,College Degreed,High School Degreed,No High School Degreed,date,president,party
268,3.4,4.8,4.4,3.1,3.5,3.4,1.9,3.9,5.4,4/1/2023,Joe Biden,Democrat
269,3.7,5.7,4.1,3.3,3.7,3.6,2,3.9,5.7,5/1/2023,Joe Biden,Democrat
270,3.6,6,4.2,3.1,3.7,3.4,2,3.9,6,6/1/2023,Joe Biden,Democrat
271,3.5,5.7,4.4,3.1,3.7,3.4,2,3.3,5.3,7/1/2023,Joe Biden,Democrat
272,3.8,5.3,4.9,3.4,4,3.5,2.2,3.9,5.4,8/1/2023,Joe Biden,Democrat
273,3.8,5.7,4.6,3.4,4.1,3.4,2.2,4.1,5.5,9/1/2023,Joe Biden,Democrat
274,3.8,5.8,4.8,3.5,4.1,3.6,2.1,4,5.8,10/1/2023,Joe Biden,Democrat
275,3.7,5.8,4.6,3.3,4,3.4,2.1,4.1,6.3,11/1/2023,Joe Biden,Democrat
276,3.7,5.2,5,3.5,3.9,3.6,2.1,4.2,6,12/1/2023,Joe Biden,Democrat
277,3.7,5.3,5,3.4,3.9,3.4,2.1,4.3,6,1/1/2024,Joe Biden,Democrat
278,3.9,5.6,5,3.4,3.8,3.9,2.2,4.2,6.1,2/1/2024,Joe Biden,Democrat
279,3.8,6.4,4.5,3.4,3.7,3.9,2.1,4.1,4.9,3/1/2024,Joe Biden,Democrat
280,3.9,5.6,4.8,3.5,3.9,3.8,2.2,4,6,4/1/2024,Joe Biden,Democrat
281,4,6.1,5,3.5,4.2,3.7,2.1,4.3,5.9,5/1/2024,Joe Biden,Democrat
282,4.1,6.3,4.9,3.5,4.1,4,2.4,4.2,5.9,6/1/2024,Joe Biden,Democrat
283,4.3,6.3,5.3,3.8,4.4,4.1,2.3,4.6,6.7,7/1/2024,Joe Biden,Democrat
